response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.,A competent one.,Summer,What? What kind of monster are you?,Morty,"You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?",Summer,It's not my fault we froze time on a humid day!,Morty,"Then you've been doing it wrong for six months. Oh, my God, is that mildew?",Summer,"I know how to vacuum Mom and Dad, Summer, I've been doing it for six months!",Morty,"Hurry up Morty, Grampa's about to unfreeze time. You know you really should be cleaning from top to bottom.",Summer
"You're putting too much pressure on yourself, scary Terry. You know, I mean, y-you're perfectly scary enough as it is.","Yeah, this is a bunch of bullcrap. Who cares what stupid pun you make when you kill someone? Why don't you let the poor guy say whatever he wants?",Rick,"Oh, uh, um ... ""Bitch.""",Scary Terry,"Oh, no! I'm late to class, bitch! Oh, no! I'm not wearing any pants!",Scary Terry,"Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry.",Morty,Looks like scary Terry's having a nightmare.,Rick,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him.",Rick,"Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa.",Scary Terry
"Oh, dad…","Listen, Jerry. I-I-I don't want to overstep my bounds or anything. It's your house. It's your world. You're a real Julius Caesar but I'll tell you something—tell you how I feel about school, Jerry. It's a waste of time.  Buncha people running around, bumping into each other. G-guy up front says, ""two plus two."" The people in the back say, ""four."" Then the—then the bell rings, and they give you a carton of milk and a piece of paper that says you can go take a dump or something. I mean, it's not a place for smart people, Jerry. And I know that's not a popular opinion, but it's my two cents on the issue.  This was a good breakfast, Beth. You really made the crap out of those eggs. I wish your mother was here to eat them.",Rick,"Okay, with all due respect, Rick— what am I talking about? What respect is due? How is my son supposed to pass his classes if you keep dragging him off for high-concept Sci-Fi rigamarole?",Jerry,"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.",Rick,"Oh my god, my parents are so loud, I want to die.",Summer,Beth!,Jerry,Jerry!,Beth,Damn it!,Jerry
"Yeah, sure. Wait, what??","Here’s yours!  Mom, do you mind if I cook dinner tonight?",Summer,Whoa! Look at you! You’re wearing the hat and everything!,Jerry,"I think it’s inspiring that our community is coping with fear in a way that involves a festival and homemade ice cream. If you’d stop being such an evangelical atheist, you might start enjoying yourself.",Jerry,We should pack up and leave town now.,Beth,"Hello? Yes sir, yeah. Thank you sir, thank you. He says he’s proud of what we’re doing and hopes we have a great Ascension Festival! Happy Ascension!",Principal Vagina,"Our planet’s held captive on a live game show and your solution is to shoot the audience? You can put your faith in nukes if we get through this, General. Until then, I’ll put mine in Rick and Morty. “Get Schwifty” was a jam.",President,"We still have the nuclear option. On my word, we can launch a nuclear missile at every one of those heads in the sky.",Nathan
Oh man... I don't feel good.,Were either of you guys uncertain about anything just now?,Rick,"Wait, what am I saying?",All Summers,What do you mean?,Summer 1,"Oh God, oh no, what did you guys just do?",All Ricks,Whoa whoa wh-what the hell hell hell hell hell?,Rick,You shut up!,Morty,What's yours?,Morty
Holy crap... Slick's wish came true.,"I don't know, and I don't have to know. I've been fired.  Good luck, turds.",Teacher Rick,To what?,Glasses Morty,No graduation. No new Ricks. The school's curriculum is changing.,Teacher Rick,Did we miss graduation? Where are the new Ricks?,Glasses Morty,But... I violated at least a dozen departmental codes!,Cop Rick,Why am I still here? I already confessed to everything.,Cop Rick,He... won?,Campaign Manager Morty
Yes!,"Aah! Come on! Come on, motherfucker! Come on!",Pickle Rick,Come get this delicious brine.,Pickle Rick,Come on. That's it.,Pickle Rick,"Oh, shiiit! Oh! Oh! Oh!",Pickle Rick,"Oh, God! Perpendicular, perpendicular!",Pickle Rick,Oh! Oh!,Pickle Rick,"Oh, God, the moisture! Dial it back, God! Dial it back a little bit here!",Pickle Rick
"Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something?","Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great.",Rick,"Yeah, I'm just going to...check on your mom.",Jerry,"Alright, well, I'm gonna go get dressed for the dance.",Morty,"Listen, Morty, I hate to break it to you, but what people call ""love"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science.",Rick,"Come on, Rick, don't talk about my parents like that.",Morty,"Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed.",Rick,"My marriage is fine, thank you.",Jerry
I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.,But—,Jerry,"""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I'm so smart!",Morty,"Morty, tell your parents the first law of Thermodynamics.",Rick,Holy crap. He's right.,Jerry,What the hell?,Beth,1.77245385... Whoa!,Morty,"The square root of Pi, Morty. Go!",Rick
"Oh, geez, Rick. W-w-what'd you do to Frank?","There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.",Rick,"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it.",Morty,"Uh, morning, Frank.",Morty,Not my fault this is happening.,Mr. Goldenfold,Je-Jessica. Jessica.,Morty,"Five more minutes of this, and I'm gonna get mad.",Mr. Goldenfold,Jessica.,Morty
You guys doin’ a little chemistry homework with Grandpa?,Hands in the air!,Cop Rick,What’s this?,Campaign Manager Morty,I guess I shoulda had more faith.,Campaign Manager Morty,"Another, please, with less water.",Campaign Manager Morty,I hope they see me as their Morty.,Candidate Morty,Gosh. We moved around so much it’s hard to remember. I see every Rick as my Rick.,Candidate Morty,Yes?,Candidate Morty
"Well, I-I-I think we've seen enough. I'll just figure out how to unplug this.","If you break the rules, lose the game or try to leave, you will die. Like in  ""Sawwww"".",Drunk Rick,"Morty I'm a drunk, not a hack.",Rick,"Rick, is-is this a ""Saw"" thing? Are you seriously ""Saw""-ing the Vindicators?",Morty,"...So I thought, why not just do your job for you so we can have a little fun game.",Drunk Rick,"Look, I'm a lit-- little more complex than you guys and, no offense, but I've always suspected that a lot of what you do in a year could be knocked out in a couple of hours.",Rick,"Obviously? You came here and defeated our arch-nemesis while so drunk, you don't remember doing it? That's something obvious to you?",Supernova,"Obviously, I came here last night during a blackout.",Rick
"It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty.","Oh, man, Rick. What is this place?",Morty,"Oh, geez, okay.",Morty,"There she is. All right. Come on, Morty. Let's go.",Rick,"Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!",Beth,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home.",Jerry,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way.",Jerry,Excuse me?,Beth
The day I invented the portal gun is the day I lost her.,"If we stay here, you'll die, along with all your memories. If you take me where I want to go she'll be there, too, won't she?",Cornvelious Daniel,Someone special you remember? Is that your memory of her out there -- between where you were on 9/11 and your favorite sports blooper?,Cornvelious Daniel,"Well, that depends on who breaks first -- me or the titty.",Rick,"Yeah, well, tough titties.",Rick,"It's arousal. Yes, I'd like very much to visit the memory of you inventing your portal gun.",Cornvelious Daniel,"' Ooh, your little flappy doodles are twitching. Does that mean you're aroused, or did you just get a signal that one of your buddies found a grape?",Rick,"Oh, any particular ones? You want to see my first boner, or should we go straight to the moment I discovered interdimensional travel?",Rick
"Oh, boy, Rick. I can only imagine what horrible things must, you know scare Scary Terry.",Looks like scary Terry's having a nightmare.,Rick,"Morty, this is perfect. After a little scary coitus, they should be fast asleep and then we'll incept him.",Rick,"Yeah, I know, I know. I shouldn't take my anger out on you or Scary Brandon. I love you, Melissa.",Scary Terry,I don't want to talk about it!,Scary Terry,Huh! You think you can control me with a haircut?,Jerry,"You're being very aggressive, Jerry. Perhaps tomorrow Dr. Scraps will solve that problem with a bit of surgery.",Snuffles,"Well, I'm not calling him that. That's ridiculous.",Jerry
"What is this place? And what's with ""Hunger Games"" Summer?","Y-You want to see what a hero Rick is? I-I'll bring you somewhere, Summer. Um-",Morty,I don't know yet. I'll make it up as I go. That's what Grandpa Rick does. That's what heroes do.,Summer,And how are you gonna do that?,Morty,"Fine, stay here. I'll rescue Grandpa myself.",Summer,"Summer, nobody has to know about that. We could put it right back and pretend we never saw it, like we did with Dad's mannequin leg.",Morty,What?,Young Rick,I didn't. I did.,Rick
"WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray.","Oh dear giant head, we apologize for that discussion! It will never happen again!",Summer,Holy CRAP!,Beth,The head has left and sent its children!,Principal Vagina,I think planet Earth has just been transported.,Rick,What the hell happened?,President,"Oh, God, what’s going on now?",Beth,"No, I’m… I’m just saying, we don’t know if there’s a cause-effect relationship --",Beth
